date,device,visits
2016-09-15,desktop,16904862
2016-09-15,mobile,9201937
2016-09-15,tablet,1434619
2016-09-16,desktop,14497346
2016-09-16,mobile,8459998
2016-09-16,tablet,1321081
2016-09-17,desktop,6856781
2016-09-17,mobile,6943124
2016-09-17,tablet,1187338
2016-09-18,desktop,7356479
2016-09-18,mobile,6261882
2016-09-18,tablet,1233526
2016-09-19,desktop,18099927
2016-09-19,mobile,8997110
2016-09-19,tablet,1464758
2016-09-20,desktop,17840205
2016-09-20,mobile,9078701
2016-09-20,tablet,1457307
2016-09-21,desktop,17725804
2016-09-21,mobile,9459912
2016-09-21,tablet,1489525
2016-09-22,desktop,17046462
2016-09-22,mobile,9262560
2016-09-22,tablet,1443966
2016-09-23,desktop,15155053
2016-09-23,mobile,13311235
2016-09-23,tablet,1632107
2016-09-24,desktop,7066766
2016-09-24,mobile,8999488
2016-09-24,tablet,1338085
2016-09-25,desktop,7544231
2016-09-25,mobile,7465335
2016-09-25,tablet,1303277
2016-09-26,desktop,18382093
2016-09-26,mobile,9708471
2016-09-26,tablet,1482336
2016-09-27,desktop,18301627
2016-09-27,mobile,9315075
2016-09-27,tablet,1457842
2016-09-28,desktop,18285321
2016-09-28,mobile,9385031
2016-09-28,tablet,1484512
2016-09-29,desktop,17603736
2016-09-29,mobile,9037697
2016-09-29,tablet,1443352
2016-09-30,desktop,15227768
2016-09-30,mobile,8795712
2016-09-30,tablet,1335970
2016-10-01,desktop,7480201
2016-10-01,mobile,7611143
2016-10-01,tablet,1228645
2016-10-02,desktop,7900747
2016-10-02,mobile,7135638
2016-10-02,tablet,1275700
2016-10-03,desktop,18805185
2016-10-03,mobile,9451207
2016-10-03,tablet,1517322
2016-10-04,desktop,19768971
2016-10-04,mobile,9819099
2016-10-04,tablet,1602849
2016-10-05,desktop,19300916
2016-10-05,mobile,9790352
2016-10-05,tablet,1601070
2016-10-06,desktop,18706118
2016-10-06,mobile,9696308
2016-10-06,tablet,1648735
2016-10-07,desktop,15378463
2016-10-07,mobile,8651838
2016-10-07,tablet,1437362
2016-10-08,desktop,7608121
2016-10-08,mobile,7456395
2016-10-08,tablet,1245530
2016-10-09,desktop,7530246
2016-10-09,mobile,6199736
2016-10-09,tablet,1182617
2016-10-10,desktop,15177162
2016-10-10,mobile,7905662
2016-10-10,tablet,1339442
2016-10-11,desktop,18607035
2016-10-11,mobile,9454618
2016-10-11,tablet,1466825
2016-10-12,desktop,18234779
2016-10-12,mobile,9006094
2016-10-12,tablet,1483857
2016-10-13,desktop,18249894
2016-10-13,mobile,8893268
2016-10-13,tablet,1478645
2016-10-14,desktop,15814891
2016-10-14,mobile,8328081
2016-10-14,tablet,1361997
2016-10-15,desktop,7873039
2016-10-15,mobile,6906785
2016-10-15,tablet,1254168
2016-10-16,desktop,8309556
2016-10-16,mobile,6295963
2016-10-16,tablet,1270049
2016-10-17,desktop,19341992
2016-10-17,mobile,9037125
2016-10-17,tablet,1530143
2016-10-18,desktop,18501447
2016-10-18,mobile,8699416
2016-10-18,tablet,1461607
2016-10-19,desktop,17949985
2016-10-19,mobile,8874760
2016-10-19,tablet,1438450
2016-10-20,desktop,17397588
2016-10-20,mobile,8645224
2016-10-20,tablet,1411072
2016-10-21,desktop,15082528
2016-10-21,mobile,7928868
2016-10-21,tablet,1285787
2016-10-22,desktop,7123317
2016-10-22,mobile,6331999
2016-10-22,tablet,1128915
2016-10-23,desktop,7651824
2016-10-23,mobile,5836579
2016-10-23,tablet,1150938
2016-10-24,desktop,18751929
2016-10-24,mobile,8561777
2016-10-24,tablet,1439279
2016-10-25,desktop,18565335
2016-10-25,mobile,8626223
2016-10-25,tablet,1443301
2016-10-26,desktop,11911975
2016-10-26,mobile,6251269
2016-10-26,tablet,1082698
2016-10-27,desktop,18188598
2016-10-27,mobile,8615964
2016-10-27,tablet,1438417
2016-10-28,desktop,15010621
2016-10-28,mobile,7728428
2016-10-28,tablet,1263815
2016-10-29,desktop,7191634
2016-10-29,mobile,6104875
2016-10-29,tablet,1101198
2016-10-30,desktop,7977333
2016-10-30,mobile,5767239
2016-10-30,tablet,1182788
2016-10-31,desktop,17553621
2016-10-31,mobile,7477008
2016-10-31,tablet,1276521
2016-11-01,desktop,18086918
2016-11-01,mobile,8053828
2016-11-01,tablet,1379683
2016-11-02,desktop,18267727
2016-11-02,mobile,8550075
2016-11-02,tablet,1415580
2016-11-03,desktop,17663109
2016-11-03,mobile,8399746
2016-11-03,tablet,1379477
2016-11-04,desktop,15189667
2016-11-04,mobile,7787631
2016-11-04,tablet,1247346
2016-11-05,desktop,7339060
2016-11-05,mobile,6294384
2016-11-05,tablet,1091681
2016-11-06,desktop,8584062
2016-11-06,mobile,6296984
2016-11-06,tablet,1218132
2016-11-07,desktop,19022630
2016-11-07,mobile,8509757
2016-11-07,tablet,1406683
2016-11-08,desktop,17158416
2016-11-08,mobile,8823438
2016-11-08,tablet,1358689
2016-11-09,desktop,17272384
2016-11-09,mobile,9588584
2016-11-09,tablet,1395858
2016-11-10,desktop,17460899
2016-11-10,mobile,10090259
2016-11-10,tablet,1497826
2016-11-11,desktop,12447086
2016-11-11,mobile,8498427
2016-11-11,tablet,1335403
2016-11-12,desktop,7336338
2016-11-12,mobile,7242275
2016-11-12,tablet,1208711
2016-11-13,desktop,8211656
2016-11-13,mobile,6805190
2016-11-13,tablet,1298304
2016-11-14,desktop,19349735
2016-11-14,mobile,9119830
2016-11-14,tablet,1522519
2016-11-15,desktop,18901205
