date,browser_version,visits
2016-09-15,11.0,4344196
2016-09-15,7.0,352097
2016-09-15,10.0,151910
2016-09-15,9.0,151464
2016-09-15,8.0,93243
2016-09-15,6.0,352
2016-09-15,9.10,128
2016-09-16,11.0,3715632
2016-09-16,7.0,306842
2016-09-16,9.0,133421
2016-09-16,10.0,130691
2016-09-16,8.0,85254
2016-09-16,6.0,350
2016-09-17,11.0,1092007
2016-09-17,10.0,49254
2016-09-17,9.0,47891
2016-09-17,8.0,34600
2016-09-17,7.0,32827
2016-09-17,6.0,277
2016-09-18,11.0,1050459
2016-09-18,10.0,48783
2016-09-18,9.0,45817
2016-09-18,8.0,31958
2016-09-18,7.0,29396
2016-09-18,6.0,303
2016-09-19,11.0,4537560
2016-09-19,7.0,367207
2016-09-19,10.0,156896
2016-09-19,9.0,155391
2016-09-19,8.0,103562
2016-09-19,6.0,742
2016-09-20,11.0,4492336
2016-09-20,7.0,372724
2016-09-20,10.0,156857
2016-09-20,9.0,156435
2016-09-20,8.0,103245
2016-09-20,6.0,353
2016-09-21,11.0,4443122
2016-09-21,7.0,359231
2016-09-21,10.0,154687
2016-09-21,9.0,154030
2016-09-21,8.0,99693
2016-09-21,6.0,429
2016-09-22,11.0,4301014
2016-09-22,7.0,348141
2016-09-22,9.0,148528
2016-09-22,10.0,146903
2016-09-22,8.0,98968
2016-09-22,6.0,669
2016-09-23,11.0,3759812
2016-09-23,7.0,303594
2016-09-23,10.0,130212
2016-09-23,9.0,130111
2016-09-23,8.0,86494
2016-09-23,6.0,421
2016-09-23,9.10,109
2016-09-24,11.0,1098497
2016-09-24,10.0,46475
2016-09-24,9.0,46235
2016-09-24,8.0,32458
2016-09-24,7.0,31836
2016-09-24,6.0,295
2016-09-24,9.10,114
2016-09-25,11.0,1064346
2016-09-25,10.0,48064
2016-09-25,9.0,45988
2016-09-25,7.0,34676
2016-09-25,8.0,33131
2016-09-25,6.0,1303
2016-09-26,11.0,4530629
2016-09-26,7.0,370899
2016-09-26,9.0,155788
2016-09-26,10.0,154028
2016-09-26,8.0,107605
2016-09-26,6.0,1369
2016-09-27,11.0,4515770
2016-09-27,7.0,381290
2016-09-27,9.0,155091
2016-09-27,10.0,152479
2016-09-27,8.0,102909
2016-09-27,6.0,580
2016-09-28,11.0,4521546
2016-09-28,7.0,381984
2016-09-28,9.0,154836
2016-09-28,10.0,151338
2016-09-28,8.0,102519
2016-09-28,6.0,361
2016-09-28,9.10,127
2016-09-29,11.0,4400647
2016-09-29,7.0,370572
2016-09-29,9.0,149551
2016-09-29,10.0,147915
2016-09-29,8.0,102726
2016-09-29,6.0,1151
2016-09-29,9.10,108
2016-09-30,11.0,3806728
2016-09-30,7.0,332326
2016-09-30,9.0,130683
2016-09-30,10.0,129063
2016-09-30,8.0,88081
2016-09-30,6.0,394
2016-09-30,9.10,125
2016-10-01,11.0,1154437
2016-10-01,10.0,49097
2016-10-01,9.0,47375
2016-10-01,7.0,37354
2016-10-01,8.0,34367
2016-10-01,6.0,257
2016-10-01,9.10,110
2016-10-02,11.0,1106190
2016-10-02,10.0,47596
