domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
tools.usps.com,149645054,261304805,52194863,1.7461639928306618,119.33899310163636,151915669
forecast.weather.gov,48544452,77255007,11271957,1.591428140954192,96.2980514024548,50112026
medlineplus.gov,47981869,67332049,33806107,1.4032810810266687,97.56954261202289,47966095
usps.com,33181181,47229253,16398306,1.423374683378509,72.70119538542043,27476476
cdc.gov,24206128,49065725,17491175,2.0269960152239137,122.38877477637068,24447987
irs.gov,21572725,57212300,11619723,2.6520664403778382,146.84269381823574,21511134
usajobs.gov,20594024,88139390,6050969,4.279852737862207,248.144034550994,20575247
weather.gov,16767102,37389669,5679919,2.2299422404658835,116.48210477875068,15192769
ssa.gov,13496755,37603736,8209668,2.7861316294175897,199.0037265994678,13456946
uscis.gov,11796234,28264393,5724234,2.396052248539661,220.45705849850046,10213639
reg.usps.com,11600945,22316327,4385751,1.9236645807733765,74.22356687321593,11106712
travel.state.gov,10672569,26260423,6775793,2.4605531245569834,199.62854266859273,10722893
login.usajobs.gov,10054403,15999464,2683728,1.5912893087734796,80.81674575805246,9721659
nps.gov,9141049,29392566,6280809,3.215447811296056,210.19251904239874,9094480
nasa.gov,8655830,17228286,6234240,1.9903678792212878,142.42606162551715,8561940
ceac.state.gov,6895220,139606424,2219540,20.246841145025105,1086.6117774342226,6833629
whitehouse.gov,6512152,11890124,5182682,1.8258363748266317,96.88247279854647,6530179
cns.usps.com,6441548,18822148,1703525,2.921991421937708,202.1181093426611,6794571
fda.gov,6360427,13799454,4644885,2.1695798096574332,160.30220691158,6049467
store.usps.com,5447074,24975268,3205000,4.585079622564335,116.95876226392372,5354687
earthquake.usgs.gov,5415527,9173347,2375020,1.6938973806242679,101.16157891928154,5425291
bls.gov,5263051,13868556,3017973,2.6350791584577085,156.58327042622236,5286335
opm.gov,5217984,22311069,3218520,4.2758024938367,309.03440830788287,5231504
egov.uscis.gov,5000912,24552392,1917592,4.9095828920804845,166.4693715866226,6494877
wrh.noaa.gov,4542733,14431140,1258866,3.1767528490008106,509.5010177793852,4535222
epa.gov,4376737,10466764,3116369,2.3914537245441068,156.63326583251404,4352702
cancer.gov,4242288,6652610,3404045,1.5681655748030308,92.53930402650646,4237781
archives.gov,3953109,8055690,3113365,2.0378112518526557,100.4431006076483,3984656
search.usa.gov,3818660,7615538,2842213,1.9942959048462026,102.27871792723101,3769087
tsa.gov,3656420,5588283,2406567,1.5283482203904366,71.5642882929204,3649660
myhealth.va.gov,3606846,26254414,1308439,7.2790504501717015,303.92045487941544,3874994
studentaid.ed.gov,3520468,6981598,2691239,1.9831448546045582,149.71730434703568,3508450
osha.gov,3451366,10906916,1895059,3.1601736819566515,216.90530705813293,3455121
dol.gov,3420570,9919953,2610119,2.9000877046807987,134.3089575713989,3349214
census.gov,3326681,10137776,2176726,3.0474145251678775,173.03566347359424,3307152
va.gov,3325179,7012394,1941628,2.1088771461626576,153.37224131392625,3026235
petitions.whitehouse.gov,3183969,5282580,2419336,1.6591179122661055,83.6480374023742,3177209
justice.gov,3103600,6403241,2187242,2.0631656785668255,111.6009250547751,3114867
faa.gov,3048769,6880949,1729063,2.256959776224437,120.42670139981088,3042760
cbp.gov,2835453,8442513,2137668,2.977482963039768,162.86806235194166,2821933
drugabuse.gov,2784377,9556414,2231558,3.4321552002476676,147.45562436408576,2779870
search.irs.gov,2717528,4589302,1547293,1.688778183702247,61.437808920460064,2725790
mobile.weather.gov,2636408,4073287,394334,1.5450138976971697,73.54158650709601,2642417
postcalc.usps.com,2598852,12174044,1881539,4.684392955043227,181.5398853032031,2848973
ghr.nlm.nih.gov,2559043,3706744,1988948,1.4484883606879604,106.0205463526795,2538763
usa.gov,2393047,4467622,2108375,1.8669177830606754,103.91305561487091,2403563
niddk.nih.gov,2370514,3084071,2040024,1.3010136198309734,61.22717520335252,2362251
