date,os_version,visits
2016-09-15,(not set),1323
2016-09-15,10,4332365
2016-09-15,2000,633
2016-09-15,7,8437368
2016-09-15,8,142529
2016-09-15,8.1,962641
2016-09-15,NT,310
2016-09-15,Server 2003,6920
2016-09-15,Vista,179659
2016-09-15,XP,270977
2016-09-16,(not set),1306
2016-09-16,10,3761446
2016-09-16,2000,623
2016-09-16,7,7201189
2016-09-16,8,126841
2016-09-16,8.1,822477
2016-09-16,NT,354
2016-09-16,Server 2003,6667
2016-09-16,Vista,165640
2016-09-16,XP,244051
2016-09-17,(not set),1204
2016-09-17,10,2465119
2016-09-17,2000,402
2016-09-17,7,2132987
2016-09-17,8,95084
2016-09-17,8.1,476289
2016-09-17,NT,346
2016-09-17,Server 2003,4261
2016-09-17,Vista,125159
2016-09-17,XP,150532
2016-09-18,(not set),1273
2016-09-18,10,2665957
2016-09-18,2000,449
2016-09-18,7,2123417
2016-09-18,8,110412
2016-09-18,8.1,530078
2016-09-18,NT,282
2016-09-18,Server 2003,4171
2016-09-18,Vista,123787
2016-09-18,XP,144069
2016-09-19,(not set),1364
2016-09-19,10,4637377
2016-09-19,2000,810
2016-09-19,7,8968730
2016-09-19,8,160224
2016-09-19,8.1,1049774
2016-09-19,NT,862
2016-09-19,Server 2003,7891
2016-09-19,Vista,190418
2016-09-19,XP,297581
2016-09-20,(not set),1326
2016-09-20,10,4518580
2016-09-20,2000,907
2016-09-20,7,8916236
2016-09-20,8,164421
2016-09-20,8.1,1037570
2016-09-20,NT,1290
2016-09-20,Server 2003,7777
2016-09-20,Vista,186663
2016-09-20,XP,293752
2016-09-21,(not set),1315
2016-09-21,10,4500977
2016-09-21,2000,910
2016-09-21,7,8833216
2016-09-21,8,165043
2016-09-21,8.1,1032230
2016-09-21,NT,1386
2016-09-21,Server 2003,7518
2016-09-21,Vista,189926
2016-09-21,XP,290251
2016-09-22,(not set),1363
2016-09-22,10,4299059
2016-09-22,2000,845
2016-09-22,7,8538586
2016-09-22,8,159286
2016-09-22,8.1,998228
2016-09-22,NT,1235
2016-09-22,Server 2003,7021
2016-09-22,Vista,182023
2016-09-22,XP,284431
2016-09-23,(not set),1251
2016-09-23,10,3941241
2016-09-23,2000,931
2016-09-23,7,7428572
2016-09-23,8,145864
2016-09-23,8.1,894182
2016-09-23,NT,1259
2016-09-23,Server 2003,6791
2016-09-23,Vista,174997
2016-09-23,XP,257213
2016-09-24,(not set),1183
2016-09-24,10,2531290
2016-09-24,2000,761
2016-09-24,7,2189595
2016-09-24,8,107607
2016-09-24,8.1,508458
2016-09-24,NT,1032
2016-09-24,Server 2003,4276
2016-09-24,Vista,130668
2016-09-24,XP,146346
2016-09-25,(not set),1243
2016-09-25,10,2736504
2016-09-25,2000,643
2016-09-25,7,2173067
2016-09-25,8,120972
2016-09-25,8.1,556501
2016-09-25,NT,653
2016-09-25,Server 2003,4041
2016-09-25,Vista,129563
2016-09-25,XP,147386
2016-09-26,(not set),1329
2016-09-26,10,4684534
2016-09-26,2000,1129
2016-09-26,7,9102633
2016-09-26,8,175499
2016-09-26,8.1,1080334
2016-09-26,NT,1589
2016-09-26,Server 2003,7740
2016-09-26,Vista,194378
2016-09-26,XP,303939
2016-09-27,(not set),1524
2016-09-27,10,4642331
2016-09-27,2000,1143
2016-09-27,7,9078934
2016-09-27,8,177798
2016-09-27,8.1,1079724
2016-09-27,NT,1509
2016-09-27,Server 2003,7398
2016-09-27,Vista,192974
2016-09-27,XP,297147
2016-09-28,(not set),1442
2016-09-28,10,4616155
2016-09-28,2000,1281
2016-09-28,7,9087893
2016-09-28,8,181711
2016-09-28,8.1,1079755
2016-09-28,NT,1640
2016-09-28,Server 2003,6817
2016-09-28,Vista,198050
2016-09-28,XP,297233
2016-09-29,(not set),1281
2016-09-29,10,4445083
